Separation Type;Duration;Result
strong_sep;[3.4296822547912598];Correct
strong_sep;[4.8307881355285645, 3.789794921875, 3.3824260234832764, 4.738857984542847, 6.095769166946411];Incorrect
strong_sep;[3.0808749198913574];Correct
strong_sep;[3.8067331314086914];Correct
strong_sep;[9.067754030227661, 5.658914089202881, 6.566497087478638];Correct
strong_sep;[5.036314010620117, 5.7664430141448975, 5.157205104827881, 3.62998104095459, 3.9671521186828613];Incorrect
strong_sep;[4.58858585357666];Correct
strong_sep;[3.2181777954101562, 3.8567328453063965];Correct
strong_sep;[3.343508243560791];Correct
strong_sep;[4.0485169887542725];Correct
weak_sep;[5.096275329589844];Correct
weak_sep;[4.805124044418335];Correct
weak_sep;[4.769028186798096];Correct
weak_sep;[2.907219886779785];Correct
weak_sep;[4.594483852386475, 6.768911123275757, 3.8084542751312256, 3.07291316986084];Correct
weak_sep;[4.11011528968811];Correct
weak_sep;[2.7963578701019287];Correct
weak_sep;[3.1562538146972656, 2.57201886177063];Correct
weak_sep;[2.530161142349243];Correct
weak_sep;[6.712138891220093];Correct
strong_sep;[7.929965972900391];Correct
strong_sep;[4.868941068649292, 4.79339075088501];Correct
strong_sep;[4.2566750049591064];Correct
strong_sep;[5.478866815567017];Correct
strong_sep;[3.4941680431365967, 4.110445737838745, 3.4655520915985107, 5.356296062469482, 6.785480260848999];Incorrect
strong_sep;[3.0756430625915527, 3.0520431995391846, 3.0568177700042725, 4.858121871948242, 4.434499025344849];Incorrect
strong_sep;[6.716662883758545, 3.965203046798706, 4.967672824859619, 2.909646987915039, 6.895297050476074];Incorrect
strong_sep;[3.6232047080993652, 6.92743992805481, 4.5772387981414795, 2.864326000213623, 5.427052021026611];Incorrect
strong_sep;[3.5364840030670166];Correct
strong_sep;[4.184298038482666];Correct
strong_sep;[3.8253729343414307];Correct
strong_sep;[5.894816160202026];Correct
strong_sep;[6.708389759063721];Correct
strong_sep;[6.602151155471802];Correct
strong_sep;[4.588950872421265];Correct
strong_sep;[7.898464918136597];Correct
strong_sep;[12.067622184753418, 9.657752990722656, 3.432158946990967, 4.378915071487427, 4.635310888290405];Incorrect
strong_sep;[10.082545280456543, 8.009558916091919, 5.550580978393555, 3.921276807785034, 6.41579270362854];Incorrect
strong_sep;[5.691720008850098, 5.037961006164551, 6.564354181289673, 11.451789855957031, 7.950258016586304];Incorrect
strong_sep;[6.697269916534424, 8.140971660614014];Correct
strong_sep;[6.485267877578735, 3.8789849281311035, 3.086916208267212, 7.699242830276489, 4.6484668254852295];Incorrect
strong_sep;[10.57616400718689, 9.68855881690979, 5.993201971054077, 4.9272589683532715, 3.1434779167175293];Incorrect
strong_sep;[5.956618070602417, 4.527951955795288, 7.178781986236572, 5.032677888870239, 4.561561822891235];Incorrect
strong_sep;[5.9699177742004395, 9.29570198059082, 2.989935874938965, 3.3199989795684814, 9.308917045593262];Incorrect
strong_sep;[3.432015895843506];Correct
strong_sep;[2.5536749362945557, 4.591027021408081];Correct
strong_sep;[3.582822322845459, 2.8866848945617676, 4.855355978012085, 7.365471839904785];Correct
strong_sep;[6.65870475769043];Correct
strong_sep;[5.2847959995269775, 3.2237777709960938, 5.4783549308776855, 4.0127668380737305];Correct
strong_sep;[3.481656789779663, 4.28510308265686];Correct
strong_sep;[4.304742097854614, 3.4017550945281982, 7.610590934753418];Correct
strong_sep;[3.360283851623535];Correct
