Constraint Type;Run Number;Duration;Result
unconstrained;1;[0.7987689971923828, 0.517650842666626, 1.1494300365447998, 1.1468379497528076, 0.6519370079040527];Incorrect
unconstrained;10;[1.4530036449432373, 3.1764869689941406, 1.8971331119537354, 1.6215522289276123, 7.597646951675415];Incorrect
unconstrained;2;[1.1157338619232178];Correct
unconstrained;3;[1.1017951965332031, 1.7532069683074951, 2.362550973892212, 1.0420517921447754, 1.4783570766448975];Incorrect
unconstrained;4;[0.6380679607391357, 3.091899871826172];Correct
unconstrained;5;[1.3014450073242188, 1.2617268562316895, 0.9808356761932373, 0.9136409759521484, 0.83561110496521];Incorrect
unconstrained;6;[1.421328067779541, 4.2860119342803955, 5.286162853240967, 2.4945919513702393, 2.1482512950897217];Incorrect
unconstrained;7;[2.5580828189849854, 3.614870071411133, 3.514137029647827, 2.380478858947754, 1.0586700439453125];Incorrect
unconstrained;8;[1.1934750080108643, 1.9704442024230957, 3.73954701423645, 1.4988558292388916, 1.733232021331787];Incorrect
unconstrained;9;[1.9798171520233154, 1.6595509052276611, 1.4718132019042969, 1.4676239490509033, 1.9658737182617188];Correct
constrained;1.1;[0.67836594581604];Correct
constrained;10.1;[3.06282377243042, 4.710148096084595, 3.346980094909668, 4.755706787109375, 1.2358851432800293];Incorrect
constrained;2.1;[1.6581549644470215];Correct
constrained;3.1;[0.9981129169464111, 1.7780101299285889, 1.1518909931182861, 1.059614896774292, 4.229353904724121];Incorrect
constrained;4.1;[0.7184088230133057];Correct
constrained;5.1;[0.9316349029541016, 0.8350918292999268, 1.5364878177642822, 0.9516880512237549, 5.696329832077026];Incorrect
constrained;6.1;[2.0858139991760254, 1.1331679821014404, 2.2477669715881348, 1.0550930500030518, 1.1743569374084473];Incorrect
constrained;7.1;[0.7555789947509766, 1.2723188400268555, 0.9401540756225586, 0.8412938117980957, 2.715533971786499];Incorrect
constrained;8.1;[1.70833420753479, 2.8852763175964355, 3.5384130477905273, 1.2682991027832031, 2.384584903717041];Incorrect
constrained;9.1;[1.2369461059570312, 1.6880018711090088, 1.150789737701416, 1.2892663478851318, 1.1257131099700928];Incorrect
unconstrained;11;[1.5503768920898438];Correct
unconstrained;21;[0.8185210227966309, 0.7441501617431641, 1.5503828525543213, 2.1195321083068848, 1.1899809837341309];Incorrect
unconstrained;31;[0.9120340347290039, 1.1632769107818604, 6.6458258628845215, 0.7517030239105225];Correct
unconstrained;41;[0.5916600227355957, 1.083326816558838, 1.3640179634094238];Correct
